title,Responsibilities
"Senior Principal Scientist, Machine Learning Computational Immunologist","Pioneer machine learning research into antibody-antigen interaction modeling and design using internal and external datasets.Partner with project teams to advance sequence- and structure-based antibody discovery and design.Develop and implement computational approaches and prediction algorithms that can map linear and three-dimensional epitopes, optimize binding scaffolds and library design to guide screening, identify and mature the affinity of antibody hits, and assess potential liabilities and optimal development options.Communicate findings and recommend follow-up actions in multiple settings such as 1:1, seminars, group, and project meetings."
"Principal Scientist, Machine Learning, Structural Bioinformatician","Partner with project teams to create and implement machine learning models for novel biotherapeutics.Pioneer research on computational design and modeling to assess and optimize molecular design using a combination of internal and external datasets.Evaluate new computational approaches and their feasibility to molecular design.Communicate findings and recommend follow-up actions in multiple settings (including: 1:1, seminars, group, and project meetings)."
Vice President Addressable Data Products and Data Science, Lead and manage ArcSpan s data products team
"Principal Data Scientist Grimes, IA - local/regional candidates preferred Direct hire","Consultative mindset to assist internal business partners by being able to deliver a ML project from beginning to end, including understanding the business need, aggregating data, exploring data, building & validating predictive models, and deploying completed models with concept-drift monitoring and retraining to deliver business impact to the organizationAbility to apply rudimentary models to understand baseline of business problem, and figure best path forward to become incrementally better, while understanding cause and effect relationshipsOwn a set of data science solutions (i.e., predictive models) in your area(s) of expertiseHelp evolve the Client’s Data Science function to be more sophisticated and structured for improving speed to market of our data productsPartner with Analytics team members and other functions to share insights and best practices, ensuring consistency of data-driven decision-making throughout the orgProvide mentorship to less experienced data scientists"
Data Scientist,"The Data Scientist leads the interpretation and program evaluation of performance improvement opportunities using statistical, algorithmic, mining, and visualization techniques. Collaborates at all levels of the organization to accomplish the value-based program goals and enterprise strategic goals and objectives."
Sr. Distinguished Engineer - Machine Learning Platform,"Establish a world-class competency in machine learning platforms and tooling at Capital One by helping to build and lead a team of the brightest minds in machine learning and engineering Build the vision and the roadmap, defining what the priorities should be, and creating both near-term and long-term wins from the application of machine learningAs a naturally curious leader, stay abreast of and determine how to fully leverage existing and emerging machine learning techniques and frameworks to continuously keep us at the forefront Create a robust operating model for machine learning applications that provides a clear development path from POC to prototype to full enterprise-class capabilitiesNurture a healthy collaborative engineering culture, and provide transparency to business and technology leaders on selection and prioritization of machine learning capabilities and their progressPartner with the enterprise risk partners to stand up proper governance and oversight of machine learning capabilities"
Lead Software Engineer / Machine Learning SME,"Work with the Product Owner to understand stakeholder requirementsDevelop, deploy & monitor solutions based on DL & ML models.Work with software engineers to embed the DL & ML models in the already existing stack.Optimizing existing data pipelines and other critical components of the ecosystemResponsible for onboarding new data sources and constructing data processing pipelines to train ML modelsWork with Data Scientists to productionise proactively developed analyticsEnsure that development is undertaken in line with continuous integration and test driven development philosophies and that code quality standards and processes are adhered to.Work with Architects to both validate designs and ensure adherence to the agreed approachCarry out unit testing to ensure the quality of delivered components"
Machine Learning Engineer,"Bringing state of the art research into productionTesting software in controlled, real-life situationCreate tools for measuring model quality and accuracyManage requirement and communicate with stakeholders"
Data Scientist,"Run predictive analytics and experimentation initiatives with a high degree of autonomy and a focus on delivering impactful business value.Identify potential areas for strategic data capture and collaborate with the business to prioritize opportunities.Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies.Develop custom data models and algorithms to apply to data sets.Brainstorm and implement new predictive models that drive difference making new insights to the company.Utilize programming skills to explore and understand large amounts of consumer and product data.Encourage data driven decision making and high-level statistical analysis across the business."
Machine Learning (Azure),"Design and deploy distributed systems using Azure Kubernetes, Spark, SQL and MLFlow.Deploy and manage Azure event streams, Azure functions, and Event HUB.Design and deploy scripts to manage Azure services and resources.Drive Azure DevOps for ML and CI/CD"
